2023/02/15 08:45:57 PM Namespace(alpha=0.5, cuda=True, dilation_manager=10, dilation_supervisor=5, entropy_coef=0.01, env_name='MiniGrid-FourRooms-v0', eps=0, gamma_m=0.99, gamma_s=0.95, gamma_w=0.9, grad_clip=5.0, hidden_dim_manager=120, hidden_dim_supervisor=60, hidden_dim_worker=16, lr=0.0005, max_steps=10000000, mlp=0, num_steps=400, num_workers=16, run_name='baseline_seed=0', seed=0, time_horizon_manager=10, time_horizon_supervisor=5, whole=1)
2023/02/15 08:49:42 PM > ep = 192 | total steps = 340592 | reward = 0 | length = 2000 | hours = 0.062
2023/02/15 08:49:43 PM > ep = 193 | total steps = 342112 | reward = 0.6075999999999999 | length = 872 | hours = 0.063
2023/02/15 08:49:43 PM > ep = 194 | total steps = 342208 | reward = 0.5913999999999999 | length = 908 | hours = 0.063
2023/02/15 08:49:47 PM > ep = 195 | total steps = 348944 | reward = 0 | length = 2000 | hours = 0.064
2023/02/15 08:49:48 PM > ep = 196 | total steps = 350384 | reward = 0 | length = 2000 | hours = 0.064
2023/02/15 08:49:51 PM > ep = 197 | total steps = 353376 | reward = 0.60625 | length = 875 | hours = 0.065
2023/02/15 08:49:51 PM > ep = 198 | total steps = 354000 | reward = 0 | length = 2000 | hours = 0.065
2023/02/15 08:49:51 PM > ep = 199 | total steps = 354976 | reward = 0.83035 | length = 377 | hours = 0.065
2023/02/15 08:49:52 PM > ep = 200 | total steps = 356976 | reward = 0 | length = 2000 | hours = 0.065
2023/02/15 08:49:53 PM > ep = 201 | total steps = 358160 | reward = 0 | length = 2000 | hours = 0.065
2023/02/15 08:49:54 PM > ep = 202 | total steps = 358752 | reward = 0 | length = 2000 | hours = 0.066
2023/02/15 08:49:54 PM > ep = 203 | total steps = 359040 | reward = 0 | length = 2000 | hours = 0.066
2023/02/15 08:49:54 PM > ep = 204 | total steps = 359248 | reward = 0 | length = 2000 | hours = 0.066
2023/02/15 08:49:55 PM > ep = 205 | total steps = 359440 | reward = 0 | length = 2000 | hours = 0.066
2023/02/15 08:49:57 PM > ep = 206 | total steps = 364192 | reward = 0 | length = 2000 | hours = 0.066
2023/02/15 08:50:00 PM > ep = 207 | total steps = 369632 | reward = 0 | length = 2000 | hours = 0.068
2023/02/15 08:50:01 PM > ep = 208 | total steps = 370672 | reward = 0 | length = 2000 | hours = 0.068
2023/02/15 08:50:03 PM > ep = 209 | total steps = 372544 | reward = 0.47844999999999993 | length = 1159 | hours = 0.068
2023/02/15 08:50:03 PM > ep = 210 | total steps = 372592 | reward = 0 | length = 2000 | hours = 0.068
2023/02/15 08:50:04 PM > ep = 211 | total steps = 374112 | reward = 0 | length = 2000 | hours = 0.068
2023/02/15 08:50:04 PM > ep = 212 | total steps = 374208 | reward = 0 | length = 2000 | hours = 0.068
2023/02/15 08:50:04 PM > ep = 213 | total steps = 375152 | reward = 0.84475 | length = 345 | hours = 0.069
2023/02/15 08:50:05 PM > ep = 214 | total steps = 376656 | reward = 0.5158 | length = 1076 | hours = 0.069
2023/02/15 08:50:05 PM > ep = 215 | total steps = 377232 | reward = 0.2449 | length = 1678 | hours = 0.069
2023/02/15 08:50:07 PM > ep = 216 | total steps = 378272 | reward = 0.78625 | length = 475 | hours = 0.069
2023/02/15 08:50:07 PM > ep = 217 | total steps = 379616 | reward = 0.8479 | length = 338 | hours = 0.069
2023/02/15 08:50:11 PM > ep = 218 | total steps = 384064 | reward = 0.8371 | length = 362 | hours = 0.070
2023/02/15 08:50:11 PM > ep = 219 | total steps = 385376 | reward = 0 | length = 2000 | hours = 0.070
