"Step","melting_self_runseed=4 - training/episode/reward","melting_self_runseed=4 - training/episode/reward__MIN","melting_self_runseed=4 - training/episode/reward__MAX","melting_self_runseed=3 - training/episode/reward","melting_self_runseed=3 - training/episode/reward__MIN","melting_self_runseed=3 - training/episode/reward__MAX","melting_self_runseed=2 - training/episode/reward","melting_self_runseed=2 - training/episode/reward__MIN","melting_self_runseed=2 - training/episode/reward__MAX","melting_self_runseed=1 - training/episode/reward","melting_self_runseed=1 - training/episode/reward__MIN","melting_self_runseed=1 - training/episode/reward__MAX","melting_self_runseed=0 - training/episode/reward","melting_self_runseed=0 - training/episode/reward__MIN","melting_self_runseed=0 - training/episode/reward__MAX"
"966400","","","","","","","","","","","","","1688","1688","1688"
"966592","","","","","","","","","","","","","1705","1705","1705"
"967424","","","","","","","","","","","","","864","864","864"
"967680","","","","","","","1530","1530","1530","","","","","",""
"972672","","","","","","","","","","","","","4599","4599","4599"
"973120","3179","3179","3179","","","","","","","","","","","",""
"973632","","","","","","","3891","3891","3891","","","","","",""
"977216","3710","3710","3710","","","","","","","","","","","",""
"980480","","","","1721","1721","1721","","","","","","","","",""
"980672","","","","","","","","","","2406","2406","2406","","",""
"989568","","","","","","","","","","3784","3784","3784","","",""
"993536","","","","","","","-5000","-5000","-5000","","","","","",""
"996032","","","","","","","","","","1869","1869","1869","","",""
"996224","","","","","","","","","","97","97","97","","",""
"998848","1124","1124","1124","","","","","","","","","","","",""
"1004736","","","","","","","3546","3546","3546","","","","","",""
"1007168","","","","","","","","","","","","","2224","2224","2224"
"1009152","-5000","-5000","-5000","","","","","","","","","","","",""
"1010176","","","","","","","-5000","-5000","-5000","","","","","",""
"1019840","","","","","","","","","","","","","-5000","-5000","-5000"
"1024000","","","","","","","1663","1663","1663","","","","","",""
"1025216","","","","","","","","","","","","","-5000","-5000","-5000"
"1027712","-5000","-5000","-5000","","","","","","","","","","","",""
"1027840","","","","-5000","-5000","-5000","","","","","","","","",""
"1028800","","","","","","","","","","","","","3569","3569","3569"
"1034368","","","","","","","3837","3837","3837","","","","","",""
"1034688","","","","","","","","","","3158","3158","3158","","",""
"1036800","-5000","-5000","-5000","","","","","","","","","","","",""
"1038400","2268","2268","2268","","","","","","","","","","","",""
"1041408","1066","1066","1066","","","","","","","","","","","",""
"1042752","","","","1994","1994","1994","","","","","","","","",""
"1048000","1769","1769","1769","","","","","","","","","","","",""
"1051904","","","","2320","2320","2320","","","","","","","","",""
"1053632","","","","","","","","","","-5000","-5000","-5000","","",""
"1059456","2046","2046","2046","","","","","","","","","","","",""
"1063104","","","","","","","","","","1699","1699","1699","","",""
"1068480","","","","","","","1080","1080","1080","","","","","",""
"1069248","","","","","","","1669","1669","1669","","","","","",""
"1070976","","","","","","","","","","-5000","-5000","-5000","","",""
"1073536","","","","","","","3113","3113","3113","","","","","",""
"1074816","","","","-5000","-5000","-5000","","","","","","","","",""
"1078144","","","","","","","4735","4735","4735","","","","","",""
"1079040","","","","","","","","","","3243","3243","3243","","",""
"1081216","","","","-5000","-5000","-5000","","","","","","","","",""
"1089536","","","","","","","","","","","","","4051","4051","4051"
"1095168","","","","","","","2396","2396","2396","","","","","",""
"1097536","4679","4679","4679","","","","","","","","","","","",""
"1109504","","","","","","","","","","-5000","-5000","-5000","","",""
"1121280","","","","-5000","-5000","-5000","","","","","","","","",""
"1123008","","","","","","","3113","3113","3113","","","","","",""
"1124864","-5000","-5000","-5000","","","","","","","","","","","",""
"1125056","","","","-5000","-5000","-5000","","","","","","","","",""
"1128896","4513","4513","4513","","","","","","","","","","","",""
"1129088","","","","","","","-5000","-5000","-5000","","","","","",""
"1129472","","","","3824","3824","3824","","","","","","","","",""
"1130048","","","","","","","","","","","","","-5000","-5000","-5000"
"1136768","","","","3823","3823","3823","","","","","","","","",""
"1137024","","","","","","","","","","","","","3986","3986","3986"
"1138688","","","","-5000","-5000","-5000","","","","","","","","",""
"1141952","","","","-5000","-5000","-5000","","","","","","","","",""
"1157568","","","","","","","","","","1975","1975","1975","","",""
"1159296","","","","2419","2419","2419","","","","","","","","",""
"1160384","","","","","","","","","","3450","3450","3450","","",""
"1162752","","","","","","","3944","3944","3944","","","","","",""
"1166720","3503","3503","3503","","","","","","","","","","","",""
"1167680","","","","-5000","-5000","-5000","","","","","","","","",""
"1170880","-5000","-5000","-5000","","","","","","","","","","","",""
"1174080","","","","","","","","","","","","","4204","4204","4204"
"1177600","","","","","","","","","","","","","1588","1588","1588"
"1178176","","","","-5000","-5000","-5000","","","","","","","","",""
"1178304","","","","","","","1349","1349","1349","","","","","",""
"1179840","","","","","","","","","","","","","-5000","-5000","-5000"
"1182592","-5000","-5000","-5000","","","","","","","","","","","",""
"1184896","","","","","","","-5000","-5000","-5000","","","","","",""
"1188480","","","","","","","","","","-5000","-5000","-5000","","",""
"1193664","","","","-5000","-5000","-5000","","","","","","","","",""
"1194688","","","","","","","","","","","","","-5000","-5000","-5000"
"1198400","","","","","","","1274","1274","1274","","","","","",""
"1201920","","","","","","","2827","2827","2827","","","","","",""
"1212672","","","","","","","2614","2614","2614","","","","","",""
"1213440","","","","3828","3828","3828","","","","","","","","",""
"1217472","","","","","","","","","","","","","2886","2886","2886"
"1230912","","","","","","","766","766","766","","","","","",""
"1233728","","","","","","","-5000","-5000","-5000","","","","","",""
"1234240","","","","1269","1269","1269","","","","","","","","",""
"1235904","","","","","","","","","","","","","4595","4595","4595"
"1236928","","","","4136","4136","4136","","","","","","","","",""
"1237440","1726","1726","1726","","","","","","","","","","","",""
"1237632","-5000","-5000","-5000","","","","","","","","","","","",""
"1238784","","","","","","","-5000","-5000","-5000","","","","","",""
"1240832","","","","-5000","-5000","-5000","","","","","","","","",""
"1243328","","","","","","","","","","","","","-5000","-5000","-5000"
"1249984","","","","","","","","","","","","","1488","1488","1488"
"1254656","395","395","395","","","","","","","","","","","",""
"1257536","","","","","","","","","","","","","-5000","-5000","-5000"
"1262528","","","","","","","1290","1290","1290","","","","","",""
"1263744","1839","1839","1839","","","","","","","","","","","",""
"1264000","","","","1819","1819","1819","2797","2797","2797","","","","","",""
"1264128","","","","","","","","","","3281","3281","3281","","",""
"1272640","-5000","-5000","-5000","","","","","","","","","","","",""
"1274368","","","","4373","4373","4373","","","","","","","","",""
"1277696","","","","","","","","","","3174","3174","3174","","",""
"1277760","","","","","","","","","","","","","2817","2817","2817"
"1278528","","","","","","","-5000","-5000","-5000","","","","","",""
"1278848","","","","","","","","","","","","","2675","2675","2675"
"1279936","","","","","","","","","","","","","-5000","-5000","-5000"
"1280384","","","","","","","-5000","-5000","-5000","","","","","",""
"1285568","","","","","","","","","","123","123","123","","",""
"1286592","","","","","","","","","","","","","-5000","-5000","-5000"
"1286784","","","","4282","4282","4282","","","","","","","","",""
"1289792","","","","-5000","-5000","-5000","","","","","","","","",""
"1290944","4073","4073","4073","","","","","","","","","","","",""
"1291264","","","","","","","","","","2253","2253","2253","","",""
"1292544","","","","","","","","","","","","","3679","3679","3679"
"1293120","-5000","-5000","-5000","","","","","","","","","","","",""
"1297024","","","","-5000","-5000","-5000","","","","","","","","",""
"1297088","","","","","","","","","","2793","2793","2793","","",""
"1300608","","","","","","","-5000","-5000","-5000","","","","","",""
"1306752","","","","2954","2954","2954","","","","","","","","",""
"1307712","","","","2837","2837","2837","","","","","","","","",""
"1310272","","","","4181","4181","4181","","","","","","","","",""
"1312704","","","","","","","","","","-5000","-5000","-5000","","",""
