"Step","melting_softmax_runseed=4 - training/episode/length","melting_softmax_runseed=4 - training/episode/length__MIN","melting_softmax_runseed=4 - training/episode/length__MAX","melting_softmax_runseed=3 - training/episode/length","melting_softmax_runseed=3 - training/episode/length__MIN","melting_softmax_runseed=3 - training/episode/length__MAX","melting_softmax_runseed=2 - training/episode/length","melting_softmax_runseed=2 - training/episode/length__MIN","melting_softmax_runseed=2 - training/episode/length__MAX","melting_softmax_runseed=1 - training/episode/length","melting_softmax_runseed=1 - training/episode/length__MIN","melting_softmax_runseed=1 - training/episode/length__MAX","melting_softmax_runseed=0 - training/episode/length","melting_softmax_runseed=0 - training/episode/length__MIN","melting_softmax_runseed=0 - training/episode/length__MAX"
"1149248","205","205","205","","","","","","","","","","","",""
"1150464","","","","2977","2977","2977","","","","","","","","",""
"1152064","","","","3002","3002","3002","","","","","","","","",""
"1159296","4841","4841","4841","","","","","","","","","","","",""
"1160512","","","","3134","3134","3134","","","","","","","","",""
"1161664","","","","2340","2340","2340","","","","","","","","",""
"1168640","","","","","","","","","","","","","5000","5000","5000"
"1168960","3597","3597","3597","","","","","","","","","","","",""
"1172608","5000","5000","5000","","","","","","","","","","","",""
"1184576","","","","","","","","","","","","","1491","1491","1491"
"1185152","","","","","","","","","","5000","5000","5000","","",""
"1186880","","","","","","","","","","","","","4869","4869","4869"
"1188992","","","","","","","","","","","","","5000","5000","5000"
"1191360","","","","","","","","","","","","","5000","5000","5000"
"1192576","","","","","","","","","","5000","5000","5000","","",""
"1193088","","","","","","","","","","3643","3643","3643","","",""
"1195904","","","","","","","","","","","","","2020","2020","2020"
"1195968","","","","","","","5000","5000","5000","","","","","",""
"1204096","","","","","","","","","","5000","5000","5000","","",""
"1208768","","","","3888","3888","3888","","","","","","","","",""
"1209280","3896","3896","3896","","","","","","","","","","","",""
"1210048","5000","5000","5000","","","","","","","","","","","",""
"1213248","","","","","","","","","","","","","5000","5000","5000"
"1221760","","","","","","","5000","5000","5000","","","","","",""
"1224448","","","","","","","5000","5000","5000","","","","","",""
"1226368","","","","","","","","","","4163","4163","4163","","",""
"1228288","5000","5000","5000","","","","","","","","","","","",""
"1228416","","","","","","","5000","5000","5000","","","","","",""
"1229184","","","","","","","5000","5000","5000","","","","","",""
"1229248","1452","1452","1452","","","","","","","","","","","",""
"1231424","","","","","","","5000","5000","5000","","","","","",""
"1232384","","","","","","","","","","","","","2847","2847","2847"
"1236864","","","","3107","3107","3107","","","","","","","","",""
"1237696","","","","3563","3563","3563","","","","","","","","",""
"1240640","","","","","","","","","","","","","3097","3097","3097"
"1240896","","","","","","","","","","4828","4828","4828","","",""
"1243136","","","","2890","2890","2890","","","","","","","","",""
"1243264","","","","","","","","","","1095","1095","1095","","",""
"1243968","5000","5000","5000","","","","","","","","","","","",""
"1246912","","","","","","","","","","1777","1777","1777","","",""
"1247488","","","","","","","5000","5000","5000","","","","","",""
"1249088","3996","3996","3996","","","","","","","","","","","",""
"1249472","","","","4524","4524","4524","","","","","","","","",""
"1251456","","","","","","","5000","5000","5000","","","","","",""
"1252928","5000","5000","5000","","","","","","","","","","","",""
"1253632","","","","","","","5000","5000","5000","","","","","",""
"1257536","457","457","457","","","","","","","","","","","",""
"1258112","4137","4137","4137","","","","","","","","","","","",""
"1258752","","","","4669","4669","4669","","","","","","","","",""
"1262208","","","","915","915","915","","","","","","","","",""
"1262400","","","","","","","5000","5000","5000","","","","","",""
"1262848","","","","","","","","","","","","","4733","4733","4733"
"1263936","","","","","","","","","","","","","4084","4084","4084"
"1264128","","","","2415","2415","2415","","","","","","","","",""
"1264256","","","","","","","5000","5000","5000","","","","","",""
"1265152","","","","2949","2949","2949","","","","","","","","",""
"1268800","2883","2883","2883","","","","","","","","","","","",""
"1270208","","","","","","","5000","5000","5000","","","","","",""
"1270720","","","","","","","","","","2873","2873","2873","","",""
"1273280","","","","2935","2935","2935","","","","","","","","",""
"1273408","","","","","","","5000","5000","5000","","","","","",""
"1273984","","","","","","","5000","5000","5000","","","","","",""
"1274688","5000","5000","5000","","","","","","","","","","","",""
"1275648","","","","","","","5000","5000","5000","","","","","",""
"1275712","","","","","","","","","","2751","2751","2751","","",""
"1276032","","","","4939","4939","4939","","","","","","","","",""
"1279936","","","","5000","5000","5000","5000","5000","5000","","","","5000","5000","5000"
"1283968","","","","5000","5000","5000","","","","","","","","",""
"1285504","","","","760","760","760","","","","","","","","",""
"1292864","","","","3657","3657","3657","","","","","","","","",""
"1295680","3465","3465","3465","","","","","","","","","","","",""
"1297600","","","","683","683","683","","","","","","","","",""
"1304896","","","","","","","","","","2217","2217","2217","","",""
"1306048","","","","","","","5000","5000","5000","","","","","",""
"1306112","","","","","","","","","","","","","5000","5000","5000"
"1306624","4210","4210","4210","","","","","","","","","","","",""
"1308928","","","","5000","5000","5000","","","","","","","","",""
"1313408","","","","5000","5000","5000","","","","","","","","",""
"1322496","","","","","","","","","","","","","1410","1410","1410"
"1322688","4872","4872","4872","","","","","","","","","","","",""
"1326784","","","","4627","4627","4627","","","","","","","","",""
"1328640","","","","761","761","761","","","","","","","","",""
"1329728","","","","","","","","","","","","","5000","5000","5000"
"1331136","5000","5000","5000","","","","","","","","","","","",""
"1336640","","","","","","","","","","","","","1555","1555","1555"
"1338944","5000","5000","5000","","","","","","","","","","","",""
"1341632","","","","","","","","","","5000","5000","5000","","",""
"1341696","","","","","","","5000","5000","5000","","","","","",""
