"Step","melting_self_runseed=4 - training/episode/length","melting_self_runseed=4 - training/episode/length__MIN","melting_self_runseed=4 - training/episode/length__MAX","melting_self_runseed=3 - training/episode/length","melting_self_runseed=3 - training/episode/length__MIN","melting_self_runseed=3 - training/episode/length__MAX","melting_self_runseed=2 - training/episode/length","melting_self_runseed=2 - training/episode/length__MIN","melting_self_runseed=2 - training/episode/length__MAX","melting_self_runseed=1 - training/episode/length","melting_self_runseed=1 - training/episode/length__MIN","melting_self_runseed=1 - training/episode/length__MAX","melting_self_runseed=0 - training/episode/length","melting_self_runseed=0 - training/episode/length__MIN","melting_self_runseed=0 - training/episode/length__MAX"
"966592","","","","","","","","","","4498","4498","4498","","",""
"970496","1431","1431","1431","","","","","","","","","","","",""
"973440","","","","","","","","","","2244","2244","2244","","",""
"973952","2217","2217","2217","","","","","","","","","","","",""
"980608","","","","","","","1694","1694","1694","","","","","",""
"980672","","","","","","","","","","2594","2594","2594","","",""
"981824","","","","","","","","","","5000","5000","5000","","",""
"996032","","","","","","","","","","3131","3131","3131","","",""
"996224","","","","","","","","","","4903","4903","4903","","",""
"996416","2531","2531","2531","","","","","","","","","","","",""
"998464","","","","","","","","","","5000","5000","5000","","",""
"1003968","","","","","","","","","","","","","2715","2715","2715"
"1004736","","","","","","","1454","1454","1454","","","","","",""
"1007168","","","","","","","5000","5000","5000","","","","","",""
"1008256","","","","3771","3771","3771","","","","","","","","",""
"1009152","5000","5000","5000","","","","","","","","","","","",""
"1010048","","","","","","","","","","","","","2156","2156","2156"
"1010176","","","","","","","5000","5000","5000","","","","","",""
"1011712","5000","5000","5000","","","","","","","","","","","",""
"1013248","5000","5000","5000","","","","","","","","","","","",""
"1017408","","","","","","","","","","","","","1375","1375","1375"
"1023168","","","","","","","5000","5000","5000","","","","","",""
"1024000","","","","","","","3337","3337","3337","","","","","",""
"1024192","","","","","","","","","","","","","5000","5000","5000"
"1024640","","","","","","","","","","5000","5000","5000","","",""
"1025472","","","","","","","5000","5000","5000","","","","","",""
"1026496","","","","","","","","","","473","473","473","","",""
"1027840","","","","5000","5000","5000","","","","","","","","",""
"1028992","","","","","","","","","","1390","1390","1390","","",""
"1034368","","","","","","","1163","1163","1163","","","","","",""
"1036032","1464","1464","1464","","","","","","","","","","","",""
"1037248","","","","","","","","","","2072","2072","2072","","",""
"1039744","","","","","","","2265","2265","2265","","","","","",""
"1040960","","","","","","","","","","1973","1973","1973","","",""
"1041536","","","","742","742","742","","","","","","","","",""
"1042752","","","","3006","3006","3006","","","","","","","","",""
"1045504","","","","","","","1123","1123","1123","","","","","",""
"1050688","1240","1240","1240","","","","","","","","","","","",""
"1051904","","","","2680","2680","2680","","","","","","","","",""
"1053376","466","466","466","","","","","","","","","","","",""
"1053632","","","","","","","","","","5000","5000","5000","","",""
"1059456","2954","2954","2954","","","","","","","","","","","",""
"1059968","","","","","","","3354","3354","3354","","","","","",""
"1060416","","","","2279","2279","2279","","","","","","","","",""
"1061440","3564","3564","3564","5000","5000","5000","","","","","","","","",""
"1065408","","","","","","","","","","","","","2373","2373","2373"
"1069248","","","","","","","3331","3331","3331","","","","","",""
"1072128","","","","","","","","","","","","","2065","2065","2065"
"1074816","","","","5000","5000","5000","","","","","","","","",""
"1075904","4095","4095","4095","","","","","","","","","","","",""
"1079040","","","","","","","","","","1757","1757","1757","","",""
"1085376","","","","2290","2290","2290","","","","","","","","",""
"1086080","","","","","","","","","","1381","1381","1381","","",""
"1088512","","","","","","","","","","3513","3513","3513","","",""
"1092160","","","","","","","","","","","","","5000","5000","5000"
"1095168","","","","","","","2604","2604","2604","","","","","",""
"1097728","4021","4021","4021","","","","","","","","","","","",""
"1102080","","","","","","","974","974","974","","","","","",""
"1108480","","","","","","","","","","","","","2321","2321","2321"
"1112448","","","","","","","","","","","","","4643","4643","4643"
"1123008","","","","","","","1887","1887","1887","","","","","",""
"1123136","","","","","","","","","","","","","3782","3782","3782"
"1129472","","","","1176","1176","1176","","","","","","","","",""
"1131072","","","","","","","827","827","827","","","","","",""
"1133952","","","","5000","5000","5000","","","","","","","","",""
"1137024","","","","","","","","","","","","","1014","1014","1014"
"1139072","","","","","","","","","","2799","2799","2799","","",""
"1141760","","","","","","","","","","","","","5000","5000","5000"
"1145600","","","","1995","1995","1995","","","","","","","","",""
"1152512","","","","","","","3009","3009","3009","","","","","",""
"1155840","","","","","","","","","","1982","1982","1982","","",""
"1156800","","","","","","","","","","2225","2225","2225","","",""
"1157568","","","","","","","","","","3025","3025","3025","","",""
"1166720","1497","1497","1497","","","","","","","","","","","",""
"1167680","","","","5000","5000","5000","","","","","","","","",""
"1170368","","","","","","","","","","2964","2964","2964","","",""
"1170432","","","","","","","","","","","","","3289","3289","3289"
"1171392","","","","","","","","","","","","","5000","5000","5000"
"1172352","","","","","","","","","","3319","3319","3319","","",""
"1172608","","","","","","","1986","1986","1986","","","","","",""
"1172672","","","","","","","4420","4420","4420","","","","","",""
"1175744","","","","","","","","","","","","","2634","2634","2634"
"1176768","","","","3077","3077","3077","","","","","","","","",""
"1178176","","","","5000","5000","5000","","","","","","","","",""
"1179392","2077","2077","2077","","","","","","","","","","","",""
