"Step","a3c_runseed=4 - training/episode/reward","a3c_runseed=4 - training/episode/reward__MIN","a3c_runseed=4 - training/episode/reward__MAX","a3c_runseed=3 - training/episode/reward","a3c_runseed=3 - training/episode/reward__MIN","a3c_runseed=3 - training/episode/reward__MAX","a3c_runseed=2 - training/episode/reward","a3c_runseed=2 - training/episode/reward__MIN","a3c_runseed=2 - training/episode/reward__MAX","a3c_runseed=1 - training/episode/reward","a3c_runseed=1 - training/episode/reward__MIN","a3c_runseed=1 - training/episode/reward__MAX","a3c_runseed=0 - training/episode/reward","a3c_runseed=0 - training/episode/reward__MIN","a3c_runseed=0 - training/episode/reward__MAX"
"720768","","","","","","","","","","","","","3752","3752","3752"
"721984","1962","1962","1962","","","","","","","","","","","",""
"725312","","","","","","","","","","","","","1756","1756","1756"
"729664","","","","","","","","","","3598","3598","3598","","",""
"732992","","","","","","","3103","3103","3103","","","","","",""
"733824","","","","","","","-5000","-5000","-5000","","","","","",""
"733952","","","","-5000","-5000","-5000","","","","","","","","",""
"735232","-5000","-5000","-5000","","","","","","","","","","","",""
"736384","","","","","","","3493","3493","3493","","","","","",""
"736832","","","","","","","","","","","","","-5000","-5000","-5000"
"737536","","","","","","","","","","-5000","-5000","-5000","","",""
"739840","","","","-5000","-5000","-5000","","","","","","","","",""
"740928","","","","","","","","","","","","","3422","3422","3422"
"741504","","","","","","","421","421","421","","","","","",""
"742080","","","","","","","","","","","","","-5000","-5000","-5000"
"742720","-5000","-5000","-5000","","","","","","","","","","","",""
"745152","","","","","","","-5000","-5000","-5000","","","","","",""
"747008","","","","","","","","","","","","","2932","2932","2932"
"748160","","","","-5000","-5000","-5000","","","","","","","","",""
"754944","","","","","","","-5000","-5000","-5000","","","","","",""
"757952","-5000","-5000","-5000","","","","","","","","","","","",""
"761856","","","","","","","","","","209","209","209","","",""
"764160","","","","1422","1422","1422","","","","","","","","",""
"765056","","","","","","","","","","","","","3085","3085","3085"
"765376","","","","","","","1294","1294","1294","","","","","",""
"767680","","","","3072","3072","3072","","","","","","","","",""
"769600","","","","","","","772","772","772","","","","","",""
"771264","3068","3068","3068","","","","","","","","","","","",""
"771840","4159","4159","4159","","","","","","","","","","","",""
"772032","-5000","-5000","-5000","","","","","","","","","","","",""
"775808","","","","","","","","","","","","","1012","1012","1012"
"776000","","","","","","","","","","","","","481","481","481"
"776064","","","","","","","","","","","","","2873","2873","2873"
"778176","","","","","","","","","","-5000","-5000","-5000","","",""
"778368","","","","","","","","","","-5000","-5000","-5000","","",""
"778432","","","","","","","2168","2168","2168","","","","","",""
"780480","","","","","","","","","","-5000","-5000","-5000","","",""
"780928","","","","","","","","","","","","","1920","1920","1920"
"782400","","","","","","","","","","","","","2774","2774","2774"
"784960","","","","-5000","-5000","-5000","","","","","","","","",""
"785856","","","","486","486","486","","","","","","","","",""
"787008","","","","","","","","","","","","","-5000","-5000","-5000"
"790080","","","","","","","","","","2654","2654","2654","","",""
"791680","","","","","","","-5000","-5000","-5000","","","","","",""
"792128","","","","","","","1878","1878","1878","","","","","",""
"793216","","","","3020","3020","3020","","","","","","","","",""
"795456","","","","","","","","","","","","","-5000","-5000","-5000"
"798464","","","","3017","3017","3017","","","","","","","","",""
"800640","-5000","-5000","-5000","","","","","","","","","","","",""
"803328","","","","","","","","","","","","","-5000","-5000","-5000"
"804672","","","","","","","","","","3150","3150","3150","","",""
"807040","","","","","","","","","","","","","3012","3012","3012"
"809088","","","","","","","2357","2357","2357","","","","","",""
"811840","","","","","","","4629","4629","4629","","","","","",""
"813952","4451","4451","4451","","","","","","","","","","","",""
"815360","","","","","","","2259","2259","2259","","","","","",""
"817536","","","","","","","2788","2788","2788","","","","","",""
"817792","","","","","","","","","","-5000","-5000","-5000","","",""
"820800","","","","","","","","","","","","","-5000","-5000","-5000"
"822464","","","","","","","","","","","","","4271","4271","4271"
"825408","","","","","","","","","","1601","1601","1601","","",""
"826112","","","","","","","","","","2114","2114","2114","","",""
"830720","","","","","","","1936","1936","1936","","","","","",""
"838528","","","","1897","1897","1897","","","","","","","","",""
"842304","","","","","","","1527","1527","1527","","","","","",""
"844288","","","","","","","3394","3394","3394","","","","","",""
"848320","","","","","","","","","","2739","2739","2739","","",""
"849536","","","","","","","","","","-5000","-5000","-5000","","",""
"851200","","","","","","","3237","3237","3237","","","","","",""
"851584","","","","4032","4032","4032","","","","","","","","",""
"856768","","","","","","","","","","","","","3285","3285","3285"
"858304","","","","","","","","","","4486","4486","4486","","",""
"860928","","","","","","","","","","","","","1547","1547","1547"
"861056","1833","1833","1833","","","","","","","","","","","",""
"862080","","","","","","","","","","","","","4440","4440","4440"
"862272","","","","","","","","","","","","","2568","2568","2568"
"862464","","","","","","","","","","","","","1523","1523","1523"
"864192","4571","4571","4571","","","","","","","","","","","",""
"864448","-5000","-5000","-5000","","","","","","","","","","","",""
"865152","","","","","","","","","","","","","3077","3077","3077"
"865536","","","","","","","2838","2838","2838","","","","","",""
"866240","","","","","","","","","","","","","3094","3094","3094"
"866432","","","","","","","","","","-5000","-5000","-5000","","",""
"867456","","","","","","","","","","-5000","-5000","-5000","","",""
"872960","","","","","","","","","","2906","2906","2906","","",""
"873792","","","","","","","","","","","","","4198","4198","4198"
"874816","","","","","","","","","","4081","4081","4081","","",""
"875008","","","","","","","","","","2210","2210","2210","","",""
"875328","","","","-5000","-5000","-5000","","","","","","","","",""
"876416","","","","","","","","","","","","","-5000","-5000","-5000"
"878272","","","","-5000","-5000","-5000","","","","","","","","",""
"881600","","","","","","","","","","1224","1224","1224","","",""
"882304","","","","1493","1493","1493","","","","","","","","",""
"882496","","","","","","","","","","","","","1744","1744","1744"
"883456","3039","3039","3039","","","","","","","","","","","",""
"885312","","","","","","","1166","1166","1166","","","","","",""
"885440","","","","","","","","","","","","","-5000","-5000","-5000"
"885696","","","","","","","2009","2009","2009","","","","","",""
"885952","","","","","","","","","","3461","3461","3461","","",""
"889024","","","","","","","","","","","","","3661","3661","3661"
"889152","","","","4185","4185","4185","","","","","","","","",""
"889472","","","","","","","1101","1101","1101","","","","","",""
"892096","","","","","","","-5000","-5000","-5000","","","","","",""
"892224","1976","1976","1976","","","","","","","","","","","",""
"893952","","","","","","","","","","","","","-5000","-5000","-5000"
"895808","-5000","-5000","-5000","","","","","","","","","","","",""
"902208","","","","","","","","","","-5000","-5000","-5000","","",""
"903040","1908","1908","1908","","","","","","","","","","","",""
"903424","","","","3820","3820","3820","","","","","","","","",""
"904512","","","","","","","","","","","","","866","866","866"
"905216","","","","","","","855","855","855","","","","","",""
"905344","","","","","","","","","","1827","1827","1827","","",""
"906880","","","","","","","","","","","","","827","827","827"
"910208","","","","","","","","","","","","","4248","4248","4248"
"912832","1853","1853","1853","","","","","","","","","","","",""
"913088","","","","","","","","","","","","","-5000","-5000","-5000"
"913536","","","","","","","","","","","","","2851","2851","2851"
"922368","","","","","","","","","","","","","-5000","-5000","-5000"
"922688","","","","","","","","","","","","","-5000","-5000","-5000"
"925632","536","536","536","","","","","","","","","","","",""
"932224","","","","","","","","","","","","","790","790","790"
"932480","","","","","","","","","","","","","2286","2286","2286"
"933056","","","","","","","","","","","","","4140","4140","4140"
"941504","","","","","","","3450","3450","3450","","","","","",""
"942016","","","","","","","2306","2306","2306","","","","","",""
"945024","","","","","","","4082","4082","4082","","","","","",""
"953856","","","","","","","","","","","","","-5000","-5000","-5000"
"955584","","","","","","","","","","2722","2722","2722","","",""
"959168","843","843","843","","","","","","","","","","","",""
"959616","","","","","","","","","","5","5","5","","",""
"959936","-5000","-5000","-5000","","","","-5000","-5000","-5000","","","","","",""
"963008","","","","-5000","-5000","-5000","","","","","","","","",""
"963392","","","","","","","","","","-5000","-5000","-5000","","",""
"964992","","","","","","","","","","2084","2084","2084","","",""
"966336","","","","","","","","","","3998","3998","3998","","",""
"970176","","","","","","","","","","","","","3376","3376","3376"
"971712","","","","","","","","","","3091","3091","3091","","",""
"972032","-5000","-5000","-5000","","","","","","","","","","","",""
"977088","","","","","","","","","","","","","-5000","-5000","-5000"
"977152","-5000","-5000","-5000","","","","","","","","","","","",""
"978048","","","","","","","","","","","","","328","328","328"
"978304","","","","","","","","","","4325","4325","4325","","",""
"978816","","","","","","","-5000","-5000","-5000","","","","","",""
"980416","","","","","","","","","","","","","4247","4247","4247"
"981440","","","","","","","","","","1066","1066","1066","","",""
"984192","","","","2016","2016","2016","","","","","","","","",""
"986496","","","","","","","","","","","","","-5000","-5000","-5000"
"988544","","","","","","","","","","","","","4553","4553","4553"
"988800","","","","","","","4226","4226","4226","","","","","",""
"989568","","","","-5000","-5000","-5000","","","","","","","","",""
"990144","","","","","","","","","","","","","3002","3002","3002"
"994496","","","","","","","3017","3017","3017","","","","","",""
"995712","","","","-5000","-5000","-5000","","","","","","","","",""
"995776","","","","","","","","","","","","","725","725","725"
"998848","","","","2485","2485","2485","","","","","","","","",""
"1000960","-5000","-5000","-5000","","","","","","","","","","","",""
"1002112","","","","","","","","","","","","","3233","3233","3233"
"1002304","","","","","","","","","","374","374","374","","",""
"1004224","","","","","","","","","","","","","-5000","-5000","-5000"
