"Step","melting_softmax_runseed=4 - training/episode/reward","melting_softmax_runseed=4 - training/episode/reward__MIN","melting_softmax_runseed=4 - training/episode/reward__MAX","melting_softmax_runseed=3 - training/episode/reward","melting_softmax_runseed=3 - training/episode/reward__MIN","melting_softmax_runseed=3 - training/episode/reward__MAX","melting_softmax_runseed=2 - training/episode/reward","melting_softmax_runseed=2 - training/episode/reward__MIN","melting_softmax_runseed=2 - training/episode/reward__MAX","melting_softmax_runseed=1 - training/episode/reward","melting_softmax_runseed=1 - training/episode/reward__MIN","melting_softmax_runseed=1 - training/episode/reward__MAX","melting_softmax_runseed=0 - training/episode/reward","melting_softmax_runseed=0 - training/episode/reward__MIN","melting_softmax_runseed=0 - training/episode/reward__MAX"
"1070080","","","","4281","4281","4281","","","","","","","","",""
"1072384","","","","3243","3243","3243","","","","","","","","",""
"1073344","","","","-5000","-5000","-5000","","","","","","","","",""
"1077120","","","","-5000","-5000","-5000","","","","","","","","",""
"1081792","","","","4524","4524","4524","","","","","","","","",""
"1084736","1397","1397","1397","","","","","","","","","","","",""
"1085824","","","","","","","","","","-5000","-5000","-5000","","",""
"1089152","","","","","","","","","","","","","3302","3302","3302"
"1090688","","","","","","","","","","2779","2779","2779","","",""
"1092416","","","","","","","","","","","","","1914","1914","1914"
"1101184","","","","","","","","","","","","","-5000","-5000","-5000"
"1103808","","","","","","","","","","-5000","-5000","-5000","","",""
"1104064","","","","","","","","","","4394","4394","4394","","",""
"1116224","","","","","","","","","","2875","2875","2875","","",""
"1121088","","","","","","","","","","","","","3322","3322","3322"
"1129216","","","","","","","","","","-5000","-5000","-5000","","",""
"1134144","","","","","","","","","","3903","3903","3903","","",""
"1136128","-5000","-5000","-5000","","","","","","","","","","","",""
"1141184","-5000","-5000","-5000","","","","","","","","","","","",""
"1141952","354","354","354","","","","","","","","","","","",""
"1144128","1142","1142","1142","","","","","","","","","","","",""
"1145216","","","","","","","","","","2849","2849","2849","","",""
"1149248","4795","4795","4795","","","","","","","","","","","",""
"1150464","","","","2023","2023","2023","","","","","","","","",""
"1152064","","","","1998","1998","1998","","","","","","","","",""
"1155200","-5000","-5000","-5000","","","","","","","","","","","",""
"1161664","","","","2660","2660","2660","","","","","","","","",""
"1161728","","","","","","","","","","3124","3124","3124","","",""
"1164480","204","204","204","","","","","","","","","","","",""
"1168640","","","","","","","","","","","","","-5000","-5000","-5000"
"1172352","","","","2691","2691","2691","","","","","","","","",""
"1173184","","","","","","","","","","1668","1668","1668","","",""
"1173696","-5000","-5000","-5000","","","","","","","","","","","",""
"1178816","","","","","","","","","","-5000","-5000","-5000","","",""
"1183104","1513","1513","1513","","","","","","","","","","","",""
"1184576","","","","","","","","","","","","","3509","3509","3509"
"1185664","","","","","","","","","","","","","-5000","-5000","-5000"
"1185792","2227","2227","2227","","","","","","","","","","","",""
"1187328","","","","","","","","","","-5000","-5000","-5000","","",""
"1191360","","","","","","","","","","","","","-5000","-5000","-5000"
"1193600","","","","","","","","","","","","","1349","1349","1349"
"1195712","3014","3014","3014","","","","","","","","","","","",""
"1195968","","","","","","","-5000","-5000","-5000","","","","","",""
"1200192","","","","1246","1246","1246","","","","","","","","",""
"1201472","-5000","-5000","-5000","","","","","","","","","","","",""
"1203648","","","","1192","1192","1192","","","","","","","","",""
"1210048","-5000","-5000","-5000","","","","","","","","","","","",""
"1212224","","","","","","","","","","-5000","-5000","-5000","","",""
"1218112","398","398","398","","","","","","","","","","","",""
"1221184","-5000","-5000","-5000","","","","","","","","","","","",""
"1221696","","","","","","","","","","","","","-5000","-5000","-5000"
"1221760","","","","","","","-5000","-5000","-5000","","","","","",""
"1224448","","","","","","","-5000","-5000","-5000","","","","","",""
"1225920","","","","","","","","","","","","","-5000","-5000","-5000"
"1228288","-5000","-5000","-5000","","","","","","","","","","","",""
"1228416","","","","","","","-5000","-5000","-5000","","","","","",""
"1229184","","","","","","","-5000","-5000","-5000","","","","","",""
"1231424","","","","","","","-5000","-5000","-5000","","","","","",""
"1232256","","","","","","","","","","","","","1625","1625","1625"
"1233664","2402","2402","2402","","","","","","","","","","","",""
"1236864","","","","1893","1893","1893","","","","","","","","",""
"1237696","","","","1437","1437","1437","","","","","","","","",""
"1239040","","","","639","639","639","","","","","","","","",""
"1239232","","","","","","","","","","","","","-5000","-5000","-5000"
"1241472","","","","","","","","","","","","","-5000","-5000","-5000"
"1243968","-5000","-5000","-5000","","","","","","","","","","","",""
"1247488","","","","","","","-5000","-5000","-5000","","","","","",""
"1247872","","","","","","","","","","790","790","790","","",""
"1249472","","","","476","476","476","","","","","","","","",""
"1251008","","","","","","","","","","3087","3087","3087","","",""
"1251456","","","","","","","-5000","-5000","-5000","","","","","",""
"1253120","1409","1409","1409","","","","","","","","","","","",""
"1253632","","","","","","","-5000","-5000","-5000","","","","","",""
"1258112","863","863","863","","","","","","","","","","","",""
"1258752","","","","331","331","331","","","","","","","","",""
"1261376","4539","4539","4539","","","","","","","","","","","",""
"1262208","","","","4085","4085","4085","","","","","","","","",""
"1262400","","","","","","","-5000","-5000","-5000","","","","","",""
"1264128","","","","2585","2585","2585","","","","","","","","",""
"1264256","","","","","","","-5000","-5000","-5000","","","","","",""
"1265152","","","","2051","2051","2051","","","","","","","","",""
"1268800","2117","2117","2117","","","","","","","","","","","",""
"1270208","","","","","","","-5000","-5000","-5000","","","","","",""
"1273408","","","","","","","-5000","-5000","-5000","","","","","",""
"1273984","","","","","","","-5000","-5000","-5000","","","","","",""
"1275648","","","","","","","-5000","-5000","-5000","","","","","",""
"1277120","","","","563","563","563","","","","","","","","",""
"1277632","","","","","","","","","","-5000","-5000","-5000","","",""
"1279936","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","-5000","","",""
"1280704","","","","4657","4657","4657","","","","","","","","",""
"1283648","1884","1884","1884","","","","","","","","","","","",""
"1283968","","","","-5000","-5000","-5000","","","","","","","","",""
"1286336","","","","","","","","","","","","","-5000","-5000","-5000"
"1287744","","","","","","","","","","2597","2597","2597","","",""
"1290432","3732","3732","3732","","","","","","","","","","","",""
"1292864","","","","1343","1343","1343","","","","","","","","",""
